"Country","Year","Sex","Total","Age00_01","Age01_04","Age05_14","Age15_24","Age25_34","Age35_44","Age45_54","Age55_64","Age65above","Unspecified_Age"
"Hong Kong SAR",2015,"Female",3925700,26500,109100,263600,401900,632600,673100,675100,549200,621100,0
"Hong Kong SAR",2016,"Male",3375400,27700,117100,283500,396800,460700,462600,533100,550900,570700,0
"Hong Kong SAR",2016,"Female",3961200,25600,109100,267500,389200,626700,678500,677000,567400,645800,0
"Hong Kong SAR",2017,"Male",3392500,27600,115700,292800,381400,459100,464100,520600,564500,594300,0
"Hong Kong SAR",2017,"Female",3999200,25800,107900,275000,376000,616700,689300,675300,585300,673700,0
"Iran (Islamic Republic of)",2016,"Male",40498442,713614,2936186,6197453,6022663,8483893,6386293,4430001,2922597,3061640,0
"Iran (Islamic Republic of)",2016,"Female",39427828,673917,2769287,5902208,5829213,8318153,6169612,4329093,2970569,3085834,0
"Iraq",2016,"Female",16112548,403866,2019453,4046762,3086913,2329761,1750523,1212880,731546,934710,0
"Iraq",2016,"Male",16486021,424301,2144071,4296867,3254124,2378577,1708693,1143609,673848,886232,0
"Israel",2009,"Male",3701384,80603,305810,683070,597179,557283,458764,378201,323691,397388,0
"Israel",2009,"Female",3784181,77063,290255,650032,573738,555764,465888,400554,353560,494389,0
"Israel",2010,"Male",3771321,83254,313264,696652,600681,561408,472385,382243,335468,409220,0
"Israel",2010,"Female",3852240,79163,298054,662543,576967,559584,479349,402919,367160,505663,0
"Israel",2011,"Male",3841121,84580,322269,712716,605530,560802,485532,386737,342609,424926,0
"Israel",2011,"Female",3924711,80386,307102,675036,583108,559719,493245,406532,375970,523999,0
"Israel",2012,"Male",3916125.171,86032.67509,331446.6025,723666.8587,614617.5213,568580.0691,500645.9148,390302.3193,345168.4385,441697.44713,0
"Israel",2012,"Female",3994400.149,82100.69596,315585.7573,688296.1279,589147.0429,566254.6761,507701.4854,408702.067,378089.1683,540623.82468,0
"Israel",2013,"Male",3991346.854,87511.98652,339469.4122,737874.641,623751.4617,574069.2263,512818.706,395145.0248,348339.6629,459878.71884,0
"Israel",2013,"Female",4068109.467,83138.98712,323328.0384,702016.7045,597663.9508,570999.5891,520384.6885,412378.8116,381313.4734,560024.21043,0
"Israel",2014,"Male",4070269.49,89223.5,346399.3003,753316.637,633543.786,580207.9365,523305.5299,402237.7488,353600.0311,477658.52033,0
"Israel",2014,"Female",4145398.018,84242,329551.4283,717117.5339,607030.8441,576406.6738,531277.2008,418288.6663,387095.2372,578630.43366,0
"Israel",2015,"Male",4153233.444,91108.03249,352277.7843,770443.255,644674.3859,586251.3126,533405.5558,411000.3487,358232.2205,496948.58122,0
"Israel",2015,"Female",4226915.523,86030.0307,334553.4749,733603.2706,617439.7037,581971.6098,541520.7545,425891.1028,392243.6482,599691.95817,0
"Israel",2016,"Male",4237229,92345,358626,787565,656574,592965,541677,422160,360985,516679,0
"Israel",2016,"Female",4308780,87190,340021,749852,628605,587819,549861,436090,395015,621521,0
"Israel",2017,"Male",4321809.88,93485.48854,365055.3496,804698.4687,668691.1223,599738.1207,549478.0739,434914.0373,362963.5416,536271.16573,0
"Israel",2017,"Female",4391457.731,88420.98952,345131.8572,766189.3271,640279.1217,593497.1422,557783.9056,448056.5247,396759.0757,643760.77701,0
"Israel",2018,"Male",4407285,94072,371058,821133,682435,605853,558298,448127,365369,555012,0
"Israel",2018,"Female",4475480,89306,350350,781424,653880,598512,566294,460821,398745,665453,0
"Israel",2019,"Female",4559978.886,88692.5,355572.6684,796775.1966,668160.0538,603612.2749,574303.2773,474937.2991,401704.0816,684914.03386,0
"Israel",2020,"Male",4575578.957,92004,378458.1365,856640.0329,711696.2868,618205.3631,572418.8919,476847.2564,374125.8679,587187.1209,0
"Israel",2021,"Female",4716803.125,87636.5,357272.1207,830946.0954,694646.6271,613633.2217,584322.8023,505326.4993,408521.7512,722134.00688,0
"Israel",2008,"Male",3614125,78678,302578,682613,592791,548741,435365,364217,303998,383827,0
"Israel",2008,"Female",3694671,74959,286989,648707,569127,543016,440562,390920,333834,481521,0
"Israel",2019,"Male",4494054.902,93757,376050.1779,838142.3403,697228.2856,611912.1713,566546.5692,462329.1812,369426.4341,572419.74272,0
"Israel",2020,"Female",4639538.235,86871,358063.1294,813891.9098,681489.2383,608540.8348,580309.38,489892.1056,404867.2932,702484.34419,0
"Israel",2021,"Male",4654564.831,92749,377501.1273,874936.4926,725818.3543,625106.1495,576962.5531,491861.0958,378805.3781,603573.68061,0
"Japan",2008,"Male",61424000,558000,2181000,5982000,6650000,8234000,8942000,7715000,9173000,12312000,0
"Japan",2008,"Female",64523000,530000,2078000,5689000,6293000,7933000,8724000,7676000,9493000,15923000,0
"Japan",2009,"Male",61339000,548000,2181000,5914000,6514000,7987000,9095000,7701000,9056000,12653000,0
"Japan",2009,"Female",64481000,520000,2074000,5627000,6163000,7679000,8864000,7653000,9361000,16331000,0
"Japan",2010,"Male",61571727,539984,2149178,5855595,6324856,7822984,9308511,7822750,9233311,13054542,0
"Japan",2010,"Female",64810001,514342,2050957,5578687,6008624,7545642,9030136,7751700,9477319,17366936,0
"Japan",2011,"Male",61453000,544000,2148000,5792000,6246000,7588000,9495000,7729000,9284000,12921000,0
"Japan",2011,"Female",64727000,516000,2048000,5519000,5931000,7314000,9206000,7655000,9536000,16692000,0
"Japan",2012,"Male",61328000,529000,2145000,5729000,6185000,7384000,9439000,7879000,8914000,13387000,0
"Japan",2012,"Female",64630000,504000,2045000,5458000,5873000,7110000,9147000,7790000,9157000,17173000,0
"Japan",2013,"Male",61186000,528000,2129000,5666000,6143000,7186000,9359000,8008000,8519000,13893000,0
"Japan",2013,"Female",64518000,503000,2028000,5398000,5834000,6913000,9066000,7908000,8746000,17694000,0
"Japan",2014,"Male",61041000,517000,2127000,5596000,6110000,7007000,9226000,8139000,8148000,14375000,0
"Japan",2014,"Female",64391000,490000,2024000,5334000,5803000,6734000,8932000,8027000,8352000,18197000,0
"Japan",2015,"Male",61022756,484110,2043970,5553851,6088330,6862886,9113688,8347334,7931251,14745706,0
"Japan",2015,"Female",64296543,464117,1950792,5287719,5772938,6614211,8810543,8180675,8078533,18577285,0
"Japan",2016,"Male",60866773,506743,1997646,5488057,6084654,6705538,8887663,8545035,7714543,15066733,0
"Japan",2018,"Male",60454898,474654,1964673,5353852,6043376,6418687,8342621,8971345,7493841,15415584,0
"Japan",2019,"Male",60208034,449776,1946993,5286311,5990497,6299908,8065389,9146129,7491595,15500765,0
"Japan",2019,"Female",63523142,427467,1854298,5038218,5676303,6037110,7803685,8923439,7565142,19347948,0
"Japan",2020,"Male",60002838,419610,1862120,5304223,5898985,6282033,7879631,9243502,7552388,15482144,0
"Japan",2017,"Male",60675736,485260,1990087,5414660,6069075,6566136,8623181,8763294,7566607,15267122,0
"Japan",2017,"Female",63972735,462213,1898619,5159005,5748865,6314841,8340110,8565425,7673864,19109002,0
"Japan",2018,"Female",63763387,451548,1871639,5104548,5722782,6165127,8066080,8763665,7581945,19267049,0
"Japan",2020,"Female",63396124,401157,1775365,5048014,5635856,6032807,7609014,9005033,7609432,19371984,0
"Japan",2016,"Female",64153479,479730,1910189,5226375,5764665,6458257,8592036,8365336,7842227,18897048,0
"Jordan",2010,"Female",2928566,71043,304121,722498,630374,483150,323038,173999,123847,167540,0
"Jordan",2012,"Female",3095000,75106,321089,763075,665555,510280,341240,183640,130760,179361,0
